date,sigma_all_observed,sigma_balanced,sigma_balanced_ex_kwuntong
2003-12-31,0.2079433863996298,,0.2079433863996298
2004-01-31,0.19863426516670435,,
2004-02-29,0.38750050403487174,,
2004-03-31,0.20462195383176016,,
2004-04-30,0.1599841084661276,,
2004-05-31,0.20107700671418802,,
2004-06-30,0.25630567764202217,,
2004-07-31,0.13927783765068186,,
2004-08-31,0.2092181750528175,,
2004-09-30,0.11795151051023382,,0.11795151051023382
2004-10-31,0.15088362474809405,,0.15088362474809405
2004-11-30,0.19581867900624197,,
2004-12-31,0.13432460228228843,,0.13432460228228843
2005-01-31,0.2526456879248403,,0.2526456879248403
2005-02-28,0.27983184313641496,,
2005-03-31,0.23472155154308147,,
2005-04-30,0.22541486968865174,,0.22541486968865174
2005-05-31,0.21340767803983596,,0.21340767803983596
2005-06-30,0.15854576236638315,,0.15854576236638315
2005-07-31,0.12106591991024644,,0.12106591991024644
2005-08-31,0.15093742140751323,,0.15093742140751323
2005-09-30,0.19624596862130692,,0.19624596862130692
2005-10-31,0.16469627310661786,,0.16469627310661786
2005-11-30,0.13402118423374318,,0.13402118423374318
2005-12-31,0.24004552087447514,,0.24004552087447514
2006-01-31,0.1901262443660756,,0.1901262443660756
2006-02-28,0.2726536197164191,,0.2726536197164191
2006-03-31,0.23800478892766497,,0.23800478892766497
2006-04-30,0.2199959033886413,,0.2199959033886413
2006-05-31,0.13977219158684454,,0.13977219158684454
2006-06-30,0.305561534079864,,
2006-07-31,0.234191192734289,,0.234191192734289
2006-08-31,0.2062547591185546,,0.2062547591185546
2006-09-30,0.21494456064690198,,0.21494456064690198
2006-10-31,0.34558531038169255,,0.34558531038169255
2006-11-30,0.15818573276837805,,0.15818573276837805
2006-12-31,0.26193247995402014,,0.26193247995402014
2007-01-31,0.17920496047549753,,0.17920496047549753
2007-02-28,0.2070069949583356,,0.2070069949583356
2007-03-31,0.1909658771867727,,0.1909658771867727
2007-04-30,0.24693678555149884,,0.24693678555149884
2007-05-31,0.2832984471411309,,0.2832984471411309
2007-06-30,0.205026946921114,,0.205026946921114
2007-07-31,0.21633537342016604,,0.21633537342016604
2007-08-31,0.20977867966638117,,0.20977867966638117
2007-09-30,0.20731999447234917,,0.20731999447234917
2007-10-31,0.20653014450609514,,0.20653014450609514
2007-11-30,0.2232313859752495,,0.2232313859752495
2007-12-31,0.3443020610506421,,0.3443020610506421
2008-01-31,0.26922814340457507,,0.26922814340457507
2008-02-29,0.25595665697329417,,0.25595665697329417
2008-03-31,0.26179087166477044,,0.26179087166477044
2008-04-30,0.27744442012863346,,0.27744442012863346
2008-05-31,0.40741927320172633,,0.40741927320172633
2008-06-30,0.26620180440186925,,0.26620180440186925
2008-07-31,0.2832547944352044,,0.2832547944352044
2008-08-31,0.29099054640255667,,0.29099054640255667
2008-09-30,0.22984701711169664,,0.22984701711169664
2008-10-31,0.28475715110893707,,
2008-11-30,0.14382089256554456,,0.14382089256554456
2008-12-31,0.30583545580407384,,0.30583545580407384
2009-01-31,0.21361467473785692,,0.21361467473785692
2009-02-28,0.480159043889679,,
2009-03-31,0.25243105952932543,,
2009-04-30,0.25463675881572984,,0.25463675881572984
2009-05-31,0.3868033636302107,,0.3868033636302107
2009-06-30,0.19249982748115732,,0.19249982748115732
2009-07-31,0.2680480933468765,,0.2680480933468765
2009-08-31,0.1520385232656673,,0.1520385232656673
2009-09-30,0.1926380733076216,,0.1926380733076216
2009-10-31,0.20931283217375324,,0.20931283217375324
