date,bsadf,cv90,cv95,cv99,cv95_wb,y
1997-09-30,-0.12826777635937503,-0.13332243127816248,0.20672592346283464,0.9200054238612421,0.5850546711353957,0.8147543126547323
1997-10-31,-0.05634570181181737,-0.13268282806746923,0.17617566785986144,0.7958253763630946,0.4765662485632056,0.8232967082876606
1997-11-30,-0.742407560619404,-0.06978712904262512,0.21435495850386163,0.7589665125912134,0.6635936623225458,0.7462456777024304
1997-12-31,-0.8729805012414716,-0.06923277667582832,0.24733925500653997,0.7506030877752721,0.7818361202060592,0.710063654226646
1998-01-31,-1.1257843030969494,-0.060238997877588296,0.20324027331125089,0.8025640267291976,1.0539062455188688,0.6330548547945678
1998-02-28,-1.1764625929300887,-0.09323601823110704,0.25190844073529833,0.6923069938657385,0.9563713714912716,0.5797662063041995
1998-03-31,-1.1425693331727529,-0.09854924135151313,0.21763715070567413,0.7637163409821274,0.8346980425026935,0.5924116189475752
1998-04-30,-1.0906541292953131,-0.08968865190577498,0.2569469179955954,0.8513290709067185,0.7393697166721271,0.5510893229335105
1998-05-31,-1.053706277048215,-0.08246655410935876,0.3145086448318078,0.8002012113537779,0.8718463987212796,0.4986224345513882
1998-06-30,-0.7808909119488411,-0.08328697759762747,0.24085010395676576,0.8232150828576358,1.3333236297361895,0.37396644104879334
1998-07-31,-0.848600371768622,-0.11391433413431888,0.26683071498946775,0.9305602722293511,1.2493977728672292,0.33314444652853814
1998-08-31,-0.7782498387673805,-0.07636607872946223,0.21434549993546695,0.9221901523838144,1.1475950752032151,0.30278761437413515
1998-09-30,-0.45978675834147975,-0.13927102689432752,0.208898447781126,0.8098406802049251,1.163684283574364,0.242362592584667
1998-10-31,-0.5680445425202842,-0.13867591298119222,0.2468427221063845,0.8150463097511114,0.9501341655915821,0.22943947977102444
1998-11-30,-1.0172192456142697,-0.057380027224525246,0.26683089429339735,0.941033803855048,0.981833137949558,0.28403303871291086
1998-12-31,-1.181804042419649,-0.08983281873823837,0.2958362216803461,0.9332551583278247,0.9848970317705497,0.332655438094512
1999-01-31,-0.9004225495880774,-0.09026318505763997,0.24121168853654135,0.9612935465105611,0.7981399017886661,0.3183333144768093
1999-02-28,-0.8581670941868658,-0.042352132306602217,0.31116406679021913,1.1016483152486996,0.7107447258865749,0.30482158232847695
1999-03-31,-0.8747757967002224,-0.010341174698044063,0.32877859785757446,1.067387421920804,0.6229721161526932,0.30854721091574266
1999-04-30,-0.8447158783527994,-0.039846512961986956,0.33379729980358885,0.9148414340182074,0.5546555310832555,0.31417368789875727
1999-05-31,-0.8206627952309682,0.06347312281114789,0.388344964408647,1.0586879772728148,0.4792789244778094,0.32430170100095773
1999-06-30,-0.795571185918638,0.07638374755635403,0.38133962113336206,1.1919268634322253,0.42490042360357133,0.321145522784246
1999-07-31,-0.8465665588047294,0.06894794581654587,0.44644349488831686,1.092899409719729,0.37090439804604963,0.3292151683886488
1999-08-31,-0.8308362780721685,0.07155139271854984,0.4629054170946073,1.248887322258207,0.31114590324024116,0.32795142810745975
1999-09-30,-0.6803340235988246,0.07525036441314958,0.47544645088928705,1.1241404863107423,0.31411847433849965,0.29077645346652886
1999-10-31,-0.6651982378567085,0.026914649985541984,0.413982102373141,1.1242305037010039,0.2507363645408022,0.27454672977417455
1999-11-30,-0.6695147720960948,0.03759670447303449,0.4259378438034266,1.165861467161416,0.19410042007404824,0.26565706047469284
1999-12-31,-0.7760342252015844,0.005347897733565216,0.38518241878058457,1.0533816397909097,0.16005401991779125,0.2845521794428532
2000-01-31,-0.8605914724223107,0.015252400361558678,0.3505668480767809,0.9651766965440335,0.17438756044191076,0.31015492830383945
